CompositeCompositeID,TotalDDT,TotalDDT.lipid,Lipid,CompositeCommonName,Year,MDL.mean,MDL.min,CompositeTissuePrep,NumberFishPerComp,CompositeTissueName,WeightAvg.g,TLMin.mm,TLMax.mm,TLAvgLength.mm,SexSummary,Program,CompositeStationArea,Region
01-1382,7.02,10.68493151,0.657,spotted sand bass,2001,2.8,2,Skin off,5,fillet,451.9379883,323,361,333.7999878,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Loma,South
01-1383,6.08,14.26727678,0.42615,rainbow surfperch,2001,2.8,2,Skin on,5,fillet,239.5420074,241,256,248.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Loma,South
01-1385,12.5,22.81021898,0.548,shiner surfperch,2001,2.8,2,Skin on,30,fillet,18.30166626,118,118,118,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1386,22.5,22.5,1,barred surfperch,2001,2.8,2,Skin off,10,fillet,119.2850037,181,202,194.1000061,"Unk (0), M (0), F (0)",CoastalFishCont,Crystal Cove to Santa Ana River,Central
01-1387,2.26,9.826086957,0.23,diamond turbot,2001,2.8,2,Skin on,5,fillet,190.3760071,232,251,241.8000031,"Unk (0), M (0), F (0)",CoastalFishCont,Crystal Cove to Santa Ana River,Central
01-1388,41.13,121.1487482,0.3395,yellowfin croaker,2001,3,2,Skin off,5,fillet,132.2700043,201,232,214.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Newport Bay,Central
01-1389,0,0,0.777,opaleye,2001,2.666666667,2,Skin off,8,fillet,122.1275024,186,201,191.125,"Unk (0), M (0), F (0)",CoastalFishCont,Newport Bay,Central
01-1390,42.2,51.02781137,0.827,barred sand bass,2001,2.8,2,Skin off,5,fillet,493.3760071,369,403,387,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1391,25,41.32231405,0.605,kelp bass,2001,2.8,2,Skin off,5,fillet,396.0320129,321,361,341.7999878,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1392,42.1,73.09027778,0.576,yellowfin croaker,2001,2.8,2,Skin off,5,fillet,149.2980042,232,249,240.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
01-1393,32.6,49.50645406,0.6585,kelp bass,2001,2.8,2,Skin off,5,fillet,437.4779968,324,355,337.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
01-1452,42.61,23.54143646,1.81,yellowfin croaker,2001,3,2,Skin off,14,fillet,70.2278595,171,227,187.8571472,"Unk (0), M (0), F (0)",CoastalFishCont,Catalina Island,Islands
01-1453,123.62,78.24050633,1.58,shiner surfperch,2001,2.333333333,2,Skin on,20,fillet,27.25749969,108,139,126.5500031,"Unk (0), M (0), F (0)",CoastalFishCont,Catalina Island,Islands
01-1454,14,48.7804878,0.287,diamond turbot,2001,2.8,2,Skin on,5,fillet,227.9519958,212,290,243.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
01-1455,19.7,15.88709677,1.24,kelp bass,2001,2.8,2,Skin off,4,fillet,457.0750122,320,355,340,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
01-1456,0,0,1.44,rainbow surfperch,2001,2.666666667,2,Skin on,5,fillet,442.2680054,250,310,288.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
01-1724,28,27.86069652,1.005,diamond turbot,2001,2.8,2,Skin on,3,fillet,183.0899963,224,234,228,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
01-1727,28.1,20.81481481,1.35,barred surfperch,2001,2.8,2,Skin off,4,fillet,137.0350037,158,205,190.5,"Unk (0), M (0), F (0)",CoastalFishCont,Middle Santa Monica Bay,Central
01-1728,27.8,30.54945055,0.91,barred surfperch,2001,2.8,2,Skin off,40,fillet,15.52425003,111,111,111,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
01-1729,162.71,49.91104294,3.26,white croaker,2001,3.333333333,2,Skin off,10,fillet,117.7730026,180,250,216.1000061,"Unk (0), M (0), F (0)",CoastalFishCont,San Pedro Bay,Central
01-1730,15.5,40.62909567,0.3815,barred surfperch,2001,2.8,2,Skin off,40,fillet,10.38150024,95,95,95,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
01-1731,22.5,40.25044723,0.559,california corbina,2001,2.8,2,Skin off,20,fillet,49.6495018,179,211,192.3500061,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
01-1732,16,87.19346049,0.1835,california corbina,2001,2.8,2,Skin off,25,fillet,50.51599884,182.0800018,182.0800018,182.0800018,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
01-1733,95.01,50.00526316,1.9,white croaker,2001,3.333333333,2,Skin off,14,fillet,95.75928497,171,234,197.5,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
01-1734,121.17,69.04273504,1.755,white surfperch,2001,3.333333333,2,Skin on,10,fillet,134.151001,179,265,227.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,San Pedro Bay,Central
01-1735,105.55,53.85204082,1.96,california corbina,2001,3,2,Skin off,5,fillet,1287.745972,347,435,382.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Middle Santa Monica Bay,Central
01-1736,70.59,202.8448276,0.348,california halibut,2001,3,2,Skin off,3,fillet,1362.199951,562,601,578.333313,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
01-1750,25.6,60.30624264,0.4245,diamond turbot,2001,2.8,2,Skin on,4,fillet,190.0800018,232,250,241.25,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
01-1752,28.5,140.04914,0.2035,california corbina,2001,2.8,2,Skin off,12,fillet,60.33083344,173,230,193.75,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
01-1753,86.3,261.5151515,0.33,yellowtail rockfish,2001,3.333333333,2,Skin off,6,fillet,148.3666687,214,250,231.6666718,"Unk (0), M (0), F (0)",CoastalFishCont,Palos Verdes,Palos Verdes
01-1754,41.76,33.2749004,1.255,jacksmelt,2001,3,2,Skin on,5,fillet,105.237999,225,257,235.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Palos Verdes,Palos Verdes
01-1755,59.71,67.85227273,0.88,barred surfperch,2001,2.333333333,2,Skin off,20,fillet,65.72100067,144,172,154.75,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
01-1756,215.2,118.5674931,1.815,california corbina,2001,2.333333333,2,Skin off,5,fillet,1315.400024,440,495,464,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2001-2325,0,0,0.657,black perch,2001,2.666666667,2,Skin off,5,fillet,148.5200043,172,230,202.8000031,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2001-2327,2.07,2.667525773,0.776,black perch,2001,2.8,2,Skin off,3,fillet,118.8333359,183,205,192,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2001-2328,0,0,0.885,black perch,2001,2.666666667,2,Skin off,10,fillet,64.41000366,142,189,155.8999939,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2001-2337,2.18,3.609271523,0.604,black perch,2001,2.8,2,Skin off,5,fillet,373.3999939,255,295,268.7999878,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Loma,South
2001-2338,0,0,0.562,black perch,2001,2.666666667,2,Skin off,5,fillet,234,230,290,247,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Loma,South
2001-2339,2.74,5.199240987,0.527,black perch,2001,2.8,2,Skin off,5,fillet,355.6000061,245,287,262.2000122,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Loma,South
2001-2653,2.33,3.376811594,0.69,black perch,2001,2.8,2,Skin off,5,fillet,28.45999908,109,126,117.5999985,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2001-2654,0,0,0.597,black perch,2001,2.666666667,2,Skin off,5,fillet,42.58000183,125,137,133,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-0056,0,0,1.01,opaleye,2002,2.666666667,2,Skin on,5,fillet,248.3999939,215,276,240.8000031,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-0250,97.7,115.8956109,0.843,barred surfperch,2002,3,2,Skin on,20,"whole without Head, Tail and Guts",36.25999832,127,154,141.25,"Unk (0), M (0), F (0)",CoastalFishCont,Crystal Cove to Santa Ana River,Central
2002-0256,16.1,31.20155039,0.516,barred surfperch,2002,2.8,2,Skin off,500,fillet,41.70000076,124,168,140.6499939,"Unk (0), M (0), F (0)",CoastalFishCont,Middle Santa Monica Bay,Central
2002-0258,19.7,42.54859611,0.463,california corbina,2002,2.8,2,Skin off,5,fillet,1419.199951,480,595,547,"Unk (0), M (0), F (0)",CoastalFishCont,Middle Santa Monica Bay,Central
2002-0406,53.8,43.38709677,1.24,white croaker,2002,2.8,2,Skin off,5,fillet,319.7999878,296,309,303,"Unk (0), M (0), F (0)",CoastalFishCont,San Onofre to Crystal Cove,South
2002-0407,244.78,298.8766789,0.819,white croaker,2002,3.333333333,2,Skin off,5,fillet,190.6000061,256,287,269,"Unk (0), M (0), F (0)",CoastalFishCont,Palos Verdes,Palos Verdes
2002-0865,34.1,17.66839378,1.93,striped mullet,2002,3,2,Skin off,5,fillet,1116,475,515,490.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Middle Santa Monica Bay,Central
2002-0869,32,73.90300231,0.433,barred surfperch,2002,2.8,2,Skin off,20,fillet,47.30500031,128,173,150.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
2002-0870,94.6,115.6479218,0.818,california corbina,2002,3.333333333,2,Skin off,5,fillet,1222.400024,502,557,530.7999878,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
2002-0872,32,125.984252,0.254,diamond turbot,2002,2.8,2,Skin on,6,fillet,192.6666718,225,266,243.6666718,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
2002-0875,15.8,36.23853211,0.436,california corbina,2002,2.8,2,Skin off,5,fillet,1132,482,516,497.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Middle Santa Monica Bay,Central
2002-0878,72.67,123.5884354,0.588,top smelt,2002,3,2,Skin on,8,fillet,25.73749924,149,166,159.25,"Unk (0), M (0), F (0)",CoastalFishCont,Middle Santa Monica Bay,Central
2002-0879,32.74,17.41489362,1.88,barred surfperch,2002,3,2,Skin off,12,fillet,40.72499847,127,160,143.5833282,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1033,47,110.3286385,0.426,pile surfperch,2002,2.8,2,Skin off,5,fillet,492,300,345,329.7999878,"Unk (0), M (0), F (0)",CoastalFishCont,Orange County Oil Platforms,Central
2002-1034,40.6,75.74626866,0.536,pile surfperch,2002,2.8,2,Skin off,5,fillet,427.7999878,262,329,301,"Unk (0), M (0), F (0)",CoastalFishCont,Orange County Oil Platforms,Central
2002-1036,185.44,51.51111111,3.6,shiner surfperch,2002,3.333333333,2,Skin on,18,"whole without Head, Tail and Guts",27.16666603,114,128,122.3333359,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
2002-1037,230.76,68.67857143,3.36,shiner surfperch,2002,3.333333333,2,Skin on,16,"whole without Head, Tail and Guts",36.26874924,125,150,136.5,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
2002-1041,14.5,17.0990566,0.848,barred surfperch,2002,2.8,2,Skin off,20,fillet,50.91999817,134,184,151.8999939,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1042,32.6,28.10344828,1.16,california corbina,2002,2.8,2,Skin off,5,fillet,854.7999878,423,499,467.7999878,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1125,30.5,38.125,0.8,barred surfperch,2002,3,2,Skin off,4,fillet,217.25,214,271,242.75,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1126,289.6,121.6806723,2.38,california corbina,2002,2.333333333,2,Skin off,5,fillet,1046,457,532,493.2000122,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1129,301.66,123.6311475,2.44,california corbina,2002,3.333333333,2,Skin off,5,fillet,1246.599976,480,580,535.5999756,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
2002-1131,111,399.2805755,0.278,spotted turbot,2002,2.8,2,Skin on,5,fillet,218,238,282,270.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,Long Beach,Central
2002-1133,6.43,14.64692483,0.439,pile surfperch,2002,2.8,2,Skin off,5,fillet,270.2000122,244,275,263,"Unk (0), M (0), F (0)",CoastalFishCont,San Onofre to Crystal Cove,South
2002-1136,0,0,0.992,opaleye,2002,2.666666667,2,Skin on,4,fillet,306.25,232,265,251.75,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1137,66.3,104.7393365,0.633,black perch,2002,3,2,Skin off,5,fillet,239.1999969,223,251,234.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1138,42.18,64.39694656,0.655,black perch,2002,3,2,Skin off,9,fillet,113.2444458,155,198,184.3333282,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1143,24.4,47.19535783,0.517,white croaker,2002,2.8,2,Skin off,5,fillet,149.8000031,237,262,244.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1144,29.1,46.19047619,0.63,white croaker,2002,2.8,2,Skin off,5,fillet,113.3600006,216,241,227.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1710,418.7,87.96218487,4.76,california corbina,2002,2.333333333,2,Skin off,5,fillet,918.7999878,440,510,461,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1712,9.92,13.60768176,0.729,black perch,2002,2.8,2,Skin off,5,fillet,243.8800049,233,296,251,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1713,6.51,10.18779343,0.639,black perch,2002,2.8,2,Skin off,5,fillet,158.8000031,189,220,207.1999969,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
2002-1741,15.09,12.36885246,1.22,black perch,2002,2.75,1,Skin off,5,fillet,406.2399902,270,295,284,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1742comp1,11.51,3.875420875,2.97,shiner surfperch,2002,2.75,1,Skin on,20,"whole without Head, Tail and Guts",14.64999962,77,118,98.30000305,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1742comp2,9.63,3.620300752,2.66,shiner surfperch,2002,2.75,1,Skin on,20,"whole without Head, Tail and Guts",15.27999973,79,132,99.15000153,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1742comp3,11.88,4.733067729,2.51,shiner surfperch,2002,2.75,1,Skin on,20,"whole without Head, Tail and Guts",13.75,86,136,101.0999985,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1746comp1,16.7,6.325757576,2.64,top smelt,2002,2.75,1,Skin on,440,"whole without Head, Tail and Guts",16.64500046,120,145,131.5500031,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1746comp2,11.4,5.158371041,2.21,top smelt,2002,2.4,1,Skin on,440,"whole without Head, Tail and Guts",17.11499977,122,146,132.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1746comp3,10.7,5.721925134,1.87,top smelt,2002,2.4,1,Skin on,440,"whole without Head, Tail and Guts",18.00499916,125,140,133.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1747,8.24,18.07017544,0.456,yellowfin croaker,2002,2.4,1,Skin off,5,fillet,35.89599991,138,185,151.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1751,2.34,2.61452514,0.895,black perch,2002,2.4,1,Skin off,5,fillet,233.0599976,205,255,229,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1752,0,0,0.878,black perch,2002,2.333333333,1,Skin off,4,fillet,411.1749878,260,270,266.25,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1754comp1,4.42,5.057208238,0.874,kelp bass,2002,2.4,1,Skin off,6,fillet,345.2666626,305,315,306.6666565,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1754comp2,3.7,5.589123867,0.662,kelp bass,2002,2.4,1,Skin off,6,fillet,379.9166565,315,329,323.1666565,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1756,8.38,11.20320856,0.748,spotted sand bass,2002,2.4,1,Skin off,6,fillet,561.7700195,320,370,343.6666565,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1757comp1,3.65,8.752997602,0.417,barred sand bass,2002,2.4,1,Skin off,5,fillet,351.3800049,310,321,314.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1757comp2,7.73,7.432692308,1.04,barred sand bass,2002,2.4,1,Skin off,5,fillet,385.1600037,326,336,331.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1757comp3,19.4,8.778280543,2.21,barred sand bass,2002,2.4,1,Skin off,5,fillet,420.4200134,337,342,340.2000122,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1760,46.54,16.86231884,2.76,chub mackerel,2002,2.75,1,Skin off,8,fillet,324.7412415,315,332,325.875,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1763,0,0,0.559,opaleye,2002,2.333333333,1,Skin off,5,fillet,136.9759979,175,196,185.1999969,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1765,2.3,4.554455446,0.505,spotted turbot,2002,2.4,1,Skin on,5,"whole without Head, Tail and Guts",195.5440063,210,255,235,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1766comp1,2.32,4.915254237,0.472,california lizardfish,2002,2.4,1,Skin off,6,fillet,81.44999695,225,240,232.6666718,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1766comp2,2.78,5.129151292,0.542,california lizardfish,2002,2.4,1,Skin off,5,fillet,89.41999817,248,297,271.2000122,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1769,3.53,6.660377358,0.53,barred sand bass,2002,2.4,1,Skin off,5,fillet,441.1600037,343,355,347.7999878,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1772,4.67,9.321357285,0.501,gray smoothhound shark,2002,2.4,1,Skin off,5,fillet,1125,706,761,728.4000244,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1774,25.73,9.189285714,2.8,chub mackerel,2002,2.75,1,Skin off,8,fillet,368.8374939,332,352,343.875,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1776comp1,2.15,7.624113475,0.282,shovelnose guitarfish,2002,2.4,1,Skin off,4,fillet,1315.5,696,763,739.25,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1776comp2,2.8,7.865168539,0.356,shovelnose guitarfish,2002,2.4,1,Skin off,4,fillet,1746.25,792,829,813.25,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1778,0,0,0.394,leopard shark,2002,2.333333333,1,Skin off,1,fillet,3447,916,916,916,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
2002-1780,6.92,25.53505535,0.271,california halibut,2002,2.4,1,Skin off,3,fillet,2101.666748,562,625,599.333313,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
