"","CompositeCommonName","scientific_name"
"71","california corbina","Menticirrhus undulatus"
"72","black perch","Embiotica jacksoni"
"73","black perch","Embiotica jacksoni"
"74","black perch","Embiotica jacksoni"
"75","black perch","Embiotica jacksoni"
"76","black perch","Embiotica jacksoni"
"77","black perch","Embiotica jacksoni"
"78","black perch","Embiotica jacksoni"
"79","black perch","Embiotica jacksoni"
"80","opaleye","Girella nigricans"
"81","barred surfperch","Amphistichus argenteus"
"82","barred surfperch","Amphistichus argenteus"
"83","california corbina","Menticirrhus undulatus"
"84","white croaker","Genyonemus lineatus"
"85","white croaker","Genyonemus lineatus"
"86","striped mullet","Mugil cephalus"
"87","barred surfperch","Amphistichus argenteus"
"88","california corbina","Menticirrhus undulatus"
"89","diamond turbot","Pleuronichthys guttulatus"
"90","california corbina","Menticirrhus undulatus"
"91","top smelt","Atherinops affinis"
"92","barred surfperch","Amphistichus argenteus"
"93","pile surfperch","Phanerodon vacca"
"94","pile surfperch","Phanerodon vacca"
"95","shiner surfperch","Cymatogaster aggregata"
"96","shiner surfperch","Cymatogaster aggregata"
"97","barred surfperch","Amphistichus argenteus"
"98","california corbina","Menticirrhus undulatus"
"99","barred surfperch","Amphistichus argenteus"
"100","california corbina","Menticirrhus undulatus"
"101","california corbina","Menticirrhus undulatus"
"102","spotted turbot","Pleuronichthys ritteri"
"103","pile surfperch","Phanerodon vacca"
"104","opaleye","Girella nigricans"
"105","black perch","Embiotica jacksoni"
"106","black perch","Embiotica jacksoni"
"107","white croaker","Genyonemus lineatus"
"108","white croaker","Genyonemus lineatus"
"109","california corbina","Menticirrhus undulatus"
"110","black perch","Embiotica jacksoni"
"111","black perch","Embiotica jacksoni"
"112","black perch","Embiotica jacksoni"
"113","shiner surfperch","Cymatogaster aggregata"
"114","shiner surfperch","Cymatogaster aggregata"
"115","shiner surfperch","Cymatogaster aggregata"
"116","top smelt","Atherinops affinis"
"117","top smelt","Atherinops affinis"
"118","top smelt","Atherinops affinis"
"119","yellowfin croaker","Umbrina roncador"
"120","black perch","Embiotica jacksoni"
"121","black perch","Embiotica jacksoni"
"122","kelp bass","Paralabrax clathratus"
"123","kelp bass","Paralabrax clathratus"
"124","spotted sand bass","Paralabrax maculatofasciatus"
"125","barred sand bass","Paralabrax nebulifer"
"126","barred sand bass","Paralabrax nebulifer"
"127","barred sand bass","Paralabrax nebulifer"
"128","chub mackerel","Scomber japonicus"
"129","opaleye","Girella nigricans"
"130","spotted turbot","Pleuronichthys ritteri"
"131","california lizardfish","Synodus lucioceps"
"132","california lizardfish","Synodus lucioceps"
"133","barred sand bass","Paralabrax nebulifer"
"134","gray smoothhound shark","Mustelus californicus"
"135","chub mackerel","Scomber japonicus"
"136","shovelnose guitarfish","Rhinobatos productus"
"137","shovelnose guitarfish","Rhinobatos productus"
"138","leopard shark","Triakis semifasciata"
"139","california halibut","Paralichthys californicus"
"140","barred sand bass","Paralabrax nebulifer"
"141","california lizardfish","Synodus lucioceps"
"142","kelp bass","Paralabrax clathratus"
"143","chub mackerel","Scomber japonicus"
"144","shovelnose guitarfish","Rhinobatos productus"
"145","yellowfin croaker","Umbrina roncador"
"146","yellowfin croaker","Umbrina roncador"
"147","yellowfin croaker","Umbrina roncador"
"148","brown smooth-hound shark","Mustelus henlei"
"149","yellowfin croaker","Umbrina roncador"
"150","shiner surfperch","Cymatogaster aggregata"
"151","shiner surfperch","Cymatogaster aggregata"
"152","shiner surfperch","Cymatogaster aggregata"
"153","black perch","Embiotica jacksoni"
"154","spotted sand bass","Paralabrax maculatofasciatus"
"155","spotted sand bass","Paralabrax maculatofasciatus"
"156","striped mullet","Mugil cephalus"
"157","striped mullet","Mugil cephalus"
"158","striped mullet","Mugil cephalus"
"159","spotted sand bass","Paralabrax maculatofasciatus"
"160","spotted turbot","Pleuronichthys ritteri"
"161","diamond turbot","Pleuronichthys guttulatus"
"162","opaleye","Girella nigricans"
"163","opaleye","Girella nigricans"
"164","opaleye","Girella nigricans"
"165","chub mackerel","Scomber japonicus"
"166","longfin sanddab","Citharichthys xanthostigma"
"167","chub mackerel","Scomber japonicus"
"168","white croaker","Genyonemus lineatus"
"169","longfin sanddab","Citharichthys xanthostigma"
"170","white croaker","Genyonemus lineatus"
"171","white croaker","Genyonemus lineatus"
"172","kelp bass","Paralabrax clathratus"
"173","opaleye","Girella nigricans"
"174","halfmoon","Medialuna californiensis"
"175","gray smoothhound shark","Mustelus californicus"
"176","barred sand bass","Paralabrax nebulifer"
"177","black perch","Embiotica jacksoni"
"178","opaleye","Girella nigricans"
"179","longfin sanddab","Citharichthys xanthostigma"
"180","pacific sardine","Sardinops sagax"
"181","diamond turbot","Pleuronichthys guttulatus"
"182","shiner surfperch","Cymatogaster aggregata"
"183","speckled sanddab","Citharichthys stigmaeus"
"184","leopard shark","Triakis semifasciata"
"185","spotfin croaker","Roncador stearnsii"
"186","barred surfperch","Amphistichus argenteus"
"187","barred surfperch","Amphistichus argenteus"
"188","california corbina","Menticirrhus undulatus"
"189","spotted sand bass","Paralabrax maculatofasciatus"
"190","spotted sand bass","Paralabrax maculatofasciatus"
"191","spotted sand bass","Paralabrax maculatofasciatus"
"192","barred sand bass","Paralabrax nebulifer"
"193","black perch","Embiotica jacksoni"
"194","california sheephead","Semicossyphus pulcher"
"195","kelp bass","Paralabrax clathratus"
"196","spotted sand bass","Paralabrax maculatofasciatus"
"197","walleye surfperch","Hyperprosopon argenteum"
"198","yellowfin croaker","Umbrina roncador"
"199","barred surfperch","Amphistichus argenteus"
"200","walleye surfperch","Hyperprosopon argenteum"
"201","queenfish","Seriphus politus"
"202","diamond turbot","Pleuronichthys guttulatus"
"203","diamond turbot","Pleuronichthys guttulatus"
"204","california sheephead","Semicossyphus pulcher"
"205","kelp bass","Paralabrax clathratus"
"206","california scorpionfish","Scorpaena guttata"
"207","spotted turbot","Pleuronichthys ritteri"
"208","spotted sand bass","Paralabrax maculatofasciatus"
"209","white croaker","Genyonemus lineatus"
"210","yellowfin croaker","Umbrina roncador"
"211","white croaker","Genyonemus lineatus"
"212","barred surfperch","Amphistichus argenteus"
"213","shiner surfperch","Cymatogaster aggregata"
"214","diamond turbot","Pleuronichthys guttulatus"
"215","black perch","Embiotica jacksoni"
"216","yellowfin croaker","Umbrina roncador"
"217","diamond turbot","Pleuronichthys guttulatus"
"218","diamond turbot","Pleuronichthys guttulatus"
"219","spotted turbot","Pleuronichthys ritteri"
"220","walleye surfperch","Hyperprosopon argenteum"
"221","ocean whitefish","Caulolatilus princeps"
"222","shiner surfperch","Cymatogaster aggregata"
"223","shiner surfperch","Cymatogaster aggregata"
"224","fantail sole","Xystreurys liolepis"
"225","shiner surfperch","Cymatogaster aggregata"
"226","opaleye","Girella nigricans"
"227","white croaker","Genyonemus lineatus"
"228","opaleye","Girella nigricans"
"229","california corbina","Menticirrhus undulatus"
"230","california corbina","Menticirrhus undulatus"
"231","barred surfperch","Amphistichus argenteus"
"232","california corbina","Menticirrhus undulatus"
"233","barred surfperch","Amphistichus argenteus"
"234","barred surfperch","Amphistichus argenteus"
"235","california corbina","Menticirrhus undulatus"
"236","barred surfperch","Amphistichus argenteus"
"237","california corbina","Menticirrhus undulatus"
"238","yellowfin croaker","Umbrina roncador"
"239","california corbina","Menticirrhus undulatus"
"240","yellowfin croaker","Umbrina roncador"
"241","california corbina","Menticirrhus undulatus"
"242","barred surfperch","Amphistichus argenteus"
"243","white croaker","Genyonemus lineatus"
"244","white croaker","Genyonemus lineatus"
"245","white surfperch","Phanerodon furcatus"
"246","rainbow surfperch","Hypsurus caryi"
"247","rainbow surfperch","Hypsurus caryi"
"248","rainbow surfperch","Hypsurus caryi"
"249","spotted turbot","Pleuronichthys ritteri"
"250","diamond turbot","Pleuronichthys guttulatus"
"251","california sheephead","Semicossyphus pulcher"
"252","opaleye","Girella nigricans"
"253","halfmoon","Medialuna californiensis"
"254","kelp bass","Paralabrax clathratus"
"255","black perch","Embiotica jacksoni"
"256","opaleye","Girella nigricans"
"257","yellowfin croaker","Umbrina roncador"
"258","white croaker","Genyonemus lineatus"
"259","white croaker","Genyonemus lineatus"
"260","white croaker","Genyonemus lineatus"
"261","spotted turbot","Pleuronichthys ritteri"
"262","queenfish","Seriphus politus"
"263","yellowfin croaker","Umbrina roncador"
"264","black perch","Embiotica jacksoni"
"265","shiner surfperch","Cymatogaster aggregata"
"266","yellowfin croaker","Umbrina roncador"
"267","spotted turbot","Pleuronichthys ritteri"
"268","shiner surfperch","Cymatogaster aggregata"
"269","spotted turbot","Pleuronichthys ritteri"
"270","black perch","Embiotica jacksoni"
"271","shiner surfperch","Cymatogaster aggregata"
"272","opaleye","Girella nigricans"
"273","barred surfperch","Amphistichus argenteus"
"274","speckled sanddab","Citharichthys stigmaeus"
"275","fantail sole","Xystreurys liolepis"
"276","speckled sanddab","Citharichthys stigmaeus"
"277","yellowfin croaker","Umbrina roncador"
"278","barred surfperch","Amphistichus argenteus"
"279","shiner surfperch","Cymatogaster aggregata"
"280","diamond turbot","Pleuronichthys guttulatus"
"281","white croaker","Genyonemus lineatus"
"282","white croaker","Genyonemus lineatus"
"283","white croaker","Genyonemus lineatus"
"284","white croaker","Genyonemus lineatus"
"285","california corbina","Menticirrhus undulatus"
"286","barred surfperch","Amphistichus argenteus"
"287","blue rockfish","Sebastes mystinus"
"288","rosy rockfish","Sebastes helvomaculatus"
"289","spotted sand bass","Paralabrax maculatofasciatus"
"290","diamond turbot","Pleuronichthys guttulatus"
"291","barred surfperch","Amphistichus argenteus"
"292","queenfish","Seriphus politus"
"293","white croaker","Genyonemus lineatus"
"294","queenfish","Seriphus politus"
"295","walleye surfperch","Hyperprosopon argenteum"
"296","white croaker","Genyonemus lineatus"
"297","barred surfperch","Amphistichus argenteus"
"298","shiner surfperch","Cymatogaster aggregata"
"299","white croaker","Genyonemus lineatus"
"300","barred surfperch","Amphistichus argenteus"
"301","kelp bass","Paralabrax clathratus"
"302","opaleye","Girella nigricans"
"303","halfmoon","Medialuna californiensis"
"304","hornyhead turbot","Pleuronichthys verticalis"
"305","white croaker","Genyonemus lineatus"
"306","hornyhead turbot","Pleuronichthys verticalis"
"307","white croaker","Genyonemus lineatus"
"308","hornyhead turbot","Pleuronichthys verticalis"
"309","white croaker","Genyonemus lineatus"
"310","black perch","Embiotica jacksoni"
"311","barred sand bass","Paralabrax nebulifer"
"312","california scorpionfish","Scorpaena guttata"
"313","hornyhead turbot","Pleuronichthys verticalis"
"314","kelp bass","Paralabrax clathratus"
"315","white croaker","Genyonemus lineatus"
"316","white croaker","Genyonemus lineatus"
"317","black perch","Embiotica jacksoni"
"318","barred sand bass","Paralabrax nebulifer"
"319","california scorpionfish","Scorpaena guttata"
"320","hornyhead turbot","Pleuronichthys verticalis"
"321","kelp bass","Paralabrax clathratus"
"322","white croaker","Genyonemus lineatus"
"323","white croaker","Genyonemus lineatus"
"324","black perch","Embiotica jacksoni"
"325","barred sand bass","Paralabrax nebulifer"
"326","california scorpionfish","Scorpaena guttata"
"327","hornyhead turbot","Pleuronichthys verticalis"
"328","kelp bass","Paralabrax clathratus"
"329","white croaker","Genyonemus lineatus"
"330","white croaker","Genyonemus lineatus"
"331","hornyhead turbot","Pleuronichthys verticalis"
"332","white croaker","Genyonemus lineatus"
"333","hornyhead turbot","Pleuronichthys verticalis"
"334","white croaker","Genyonemus lineatus"
"335","hornyhead turbot","Pleuronichthys verticalis"
"336","white croaker","Genyonemus lineatus"
"337","black perch","Embiotica jacksoni"
"338","barred sand bass","Paralabrax nebulifer"
"339","california scorpionfish","Scorpaena guttata"
"340","hornyhead turbot","Pleuronichthys verticalis"
"341","kelp bass","Paralabrax clathratus"
"342","white croaker","Genyonemus lineatus"
"343","white croaker","Genyonemus lineatus"
"344","black perch","Embiotica jacksoni"
"345","barred sand bass","Paralabrax nebulifer"
"346","california scorpionfish","Scorpaena guttata"
"347","hornyhead turbot","Pleuronichthys verticalis"
"348","kelp bass","Paralabrax clathratus"
"349","white croaker","Genyonemus lineatus"
"350","white croaker","Genyonemus lineatus"
"351","black perch","Embiotica jacksoni"
"352","barred sand bass","Paralabrax nebulifer"
"353","california scorpionfish","Scorpaena guttata"
"354","hornyhead turbot","Pleuronichthys verticalis"
"355","kelp bass","Paralabrax clathratus"
"356","white croaker","Genyonemus lineatus"
"357","white croaker","Genyonemus lineatus"
"358","hornyhead turbot","Pleuronichthys verticalis"
"359","white croaker","Genyonemus lineatus"
"360","hornyhead turbot","Pleuronichthys verticalis"
"361","white croaker","Genyonemus lineatus"
"362","hornyhead turbot","Pleuronichthys verticalis"
"363","white croaker","Genyonemus lineatus"
"364","black perch","Embiotica jacksoni"
"365","barred sand bass","Paralabrax nebulifer"
"366","kelp bass","Paralabrax clathratus"
"367","vermilion rockfish","Sebastes miniatus"
"368","white croaker","Genyonemus lineatus"
"369","black perch","Embiotica jacksoni"
"370","barred sand bass","Paralabrax nebulifer"
"371","kelp bass","Paralabrax clathratus"
"372","vermilion rockfish","Sebastes miniatus"
"373","white croaker","Genyonemus lineatus"
"374","black perch","Embiotica jacksoni"
"375","barred sand bass","Paralabrax nebulifer"
"376","kelp bass","Paralabrax clathratus"
"377","vermilion rockfish","Sebastes miniatus"
"378","white croaker","Genyonemus lineatus"
"379","hornyhead turbot","Pleuronichthys verticalis"
"380","white croaker","Genyonemus lineatus"
"381","hornyhead turbot","Pleuronichthys verticalis"
"382","white croaker","Genyonemus lineatus"
"383","hornyhead turbot","Pleuronichthys verticalis"
"384","white croaker","Genyonemus lineatus"
"385","hornyhead turbot","Pleuronichthys verticalis"
"386","white croaker","Genyonemus lineatus"
"387","hornyhead turbot","Pleuronichthys verticalis"
"388","white croaker","Genyonemus lineatus"
"389","hornyhead turbot","Pleuronichthys verticalis"
"390","white croaker","Genyonemus lineatus"
"391","black perch","Embiotica jacksoni"
"392","barred sand bass","Paralabrax nebulifer"
"393","kelp bass","Paralabrax clathratus"
"394","vermilion rockfish","Sebastes miniatus"
"395","white croaker","Genyonemus lineatus"
"396","black perch","Embiotica jacksoni"
"397","barred sand bass","Paralabrax nebulifer"
"398","kelp bass","Paralabrax clathratus"
"399","vermilion rockfish","Sebastes miniatus"
"400","white croaker","Genyonemus lineatus"
"401","black perch","Embiotica jacksoni"
"402","barred sand bass","Paralabrax nebulifer"
"403","kelp bass","Paralabrax clathratus"
"404","vermilion rockfish","Sebastes miniatus"
"405","white croaker","Genyonemus lineatus"
"406","hornyhead turbot","Pleuronichthys verticalis"
"407","white croaker","Genyonemus lineatus"
"408","hornyhead turbot","Pleuronichthys verticalis"
"409","white croaker","Genyonemus lineatus"
"410","hornyhead turbot","Pleuronichthys verticalis"
"411","white croaker","Genyonemus lineatus"
"412","hornyhead turbot","Pleuronichthys verticalis"
"413","white croaker","Genyonemus lineatus"
"414","hornyhead turbot","Pleuronichthys verticalis"
"415","white croaker","Genyonemus lineatus"
"416","hornyhead turbot","Pleuronichthys verticalis"
"417","white croaker","Genyonemus lineatus"
"418","black perch","Embiotica jacksoni"
"419","kelp bass","Paralabrax clathratus"
"420","vermilion rockfish","Sebastes miniatus"
"421","black perch","Embiotica jacksoni"
"422","kelp bass","Paralabrax clathratus"
"423","vermilion rockfish","Sebastes miniatus"
"424","black perch","Embiotica jacksoni"
"425","kelp bass","Paralabrax clathratus"
"426","vermilion rockfish","Sebastes miniatus"
"427","hornyhead turbot","Pleuronichthys verticalis"
"428","hornyhead turbot","Pleuronichthys verticalis"
"429","hornyhead turbot","Pleuronichthys verticalis"
"430","hornyhead turbot","Pleuronichthys verticalis"
"431","white croaker","Genyonemus lineatus"
"432","hornyhead turbot","Pleuronichthys verticalis"
"433","white croaker","Genyonemus lineatus"
"434","hornyhead turbot","Pleuronichthys verticalis"
"435","white croaker","Genyonemus lineatus"
"436","black perch","Embiotica jacksoni"
"437","kelp bass","Paralabrax clathratus"
"438","vermilion rockfish","Sebastes miniatus"
"439","white croaker","Genyonemus lineatus"
"440","black perch","Embiotica jacksoni"
"441","kelp bass","Paralabrax clathratus"
"442","vermilion rockfish","Sebastes miniatus"
"443","white croaker","Genyonemus lineatus"
"444","black perch","Embiotica jacksoni"
"445","kelp bass","Paralabrax clathratus"
"446","vermilion rockfish","Sebastes miniatus"
"447","white croaker","Genyonemus lineatus"
"448","hornyhead turbot","Pleuronichthys verticalis"
"449","white croaker","Genyonemus lineatus"
"450","hornyhead turbot","Pleuronichthys verticalis"
"451","white croaker","Genyonemus lineatus"
"452","hornyhead turbot","Pleuronichthys verticalis"
"453","white croaker","Genyonemus lineatus"
"454","hornyhead turbot","Pleuronichthys verticalis"
"455","white croaker","Genyonemus lineatus"
"456","hornyhead turbot","Pleuronichthys verticalis"
"457","white croaker","Genyonemus lineatus"
"458","hornyhead turbot","Pleuronichthys verticalis"
"459","white croaker","Genyonemus lineatus"
"460","black perch","Embiotica jacksoni"
"461","barred sand bass","Paralabrax nebulifer"
"462","kelp bass","Paralabrax clathratus"
"463","vermilion rockfish","Sebastes miniatus"
"464","white croaker","Genyonemus lineatus"
"465","black perch","Embiotica jacksoni"
"466","barred sand bass","Paralabrax nebulifer"
"467","kelp bass","Paralabrax clathratus"
"468","vermilion rockfish","Sebastes miniatus"
"469","white croaker","Genyonemus lineatus"
"470","black perch","Embiotica jacksoni"
"471","barred sand bass","Paralabrax nebulifer"
"472","kelp bass","Paralabrax clathratus"
"473","vermilion rockfish","Sebastes miniatus"
"474","white croaker","Genyonemus lineatus"
"475","hornyhead turbot","Pleuronichthys verticalis"
"476","white croaker","Genyonemus lineatus"
"477","hornyhead turbot","Pleuronichthys verticalis"
"478","white croaker","Genyonemus lineatus"
"479","hornyhead turbot","Pleuronichthys verticalis"
"480","white croaker","Genyonemus lineatus"
"481","black perch","Embiotica jacksoni"
"482","barred sand bass","Paralabrax nebulifer"
"483","california scorpionfish","Scorpaena guttata"
"484","kelp bass","Paralabrax clathratus"
"485","white croaker","Genyonemus lineatus"
"486","black perch","Embiotica jacksoni"
"487","barred sand bass","Paralabrax nebulifer"
"488","california scorpionfish","Scorpaena guttata"
"489","kelp bass","Paralabrax clathratus"
"490","white croaker","Genyonemus lineatus"
"491","black perch","Embiotica jacksoni"
"492","barred sand bass","Paralabrax nebulifer"
"493","california scorpionfish","Scorpaena guttata"
"494","kelp bass","Paralabrax clathratus"
"495","white croaker","Genyonemus lineatus"
"496","hornyhead turbot","Pleuronichthys verticalis"
"497","white croaker","Genyonemus lineatus"
"498","hornyhead turbot","Pleuronichthys verticalis"
"499","white croaker","Genyonemus lineatus"
"500","hornyhead turbot","Pleuronichthys verticalis"
"501","white croaker","Genyonemus lineatus"
"502","hornyhead turbot","Pleuronichthys verticalis"
"503","white croaker","Genyonemus lineatus"
"504","hornyhead turbot","Pleuronichthys verticalis"
"505","white croaker","Genyonemus lineatus"
"506","hornyhead turbot","Pleuronichthys verticalis"
"507","white croaker","Genyonemus lineatus"
"508","black perch","Embiotica jacksoni"
"509","chub mackerel","Scomber japonicus"
"510","kelp bass","Paralabrax clathratus"
"511","olive rockfish","Sebastes serranoides"
"512","white croaker","Genyonemus lineatus"
"513","blue rockfish","Sebastes mystinus"
"514","brown rockfish","Sebastes auriculatus"
"515","chub mackerel","Scomber japonicus"
"516","gopher rockfish","Sebastes carnatus"
"517","kelp bass","Paralabrax clathratus"
"518","white croaker","Genyonemus lineatus"
"519","white surfperch","Phanerodon furcatus"
"520","black perch","Embiotica jacksoni"
"521","brown rockfish","Sebastes auriculatus"
"522","kelp rockfish","Sebastes atrovirens"
"523","kelp bass","Paralabrax clathratus"
"524","barred surfperch","Amphistichus argenteus"
"525","white croaker","Genyonemus lineatus"
"526","shiner surfperch","Cymatogaster aggregata"
"527","black perch","Embiotica jacksoni"
"528","chub mackerel","Scomber japonicus"
"529","gopher rockfish","Sebastes carnatus"
"530","kelp bass","Paralabrax clathratus"
"531","white croaker","Genyonemus lineatus"
"532","barred surfperch","Amphistichus argenteus"
"533","barred sand bass","Paralabrax nebulifer"
"534","chub mackerel","Scomber japonicus"
"535","kelp bass","Paralabrax clathratus"
"536","white croaker","Genyonemus lineatus"
"537","chub mackerel","Scomber japonicus"
"538","black croaker","Cheilotrema saturnum"
"539","barred surfperch","Amphistichus argenteus"
"540","barred sand bass","Paralabrax nebulifer"
"541","chub mackerel","Scomber japonicus"
"542","kelp bass","Paralabrax clathratus"
"543","california scorpionfish","Scorpaena guttata"
"544","black perch","Embiotica jacksoni"
"545","brown rockfish","Sebastes auriculatus"
"546","barred sand bass","Paralabrax nebulifer"
"547","chub mackerel","Scomber japonicus"
"548","kelp bass","Paralabrax clathratus"
"549","chub mackerel","Scomber japonicus"
"550","black perch","Embiotica jacksoni"
"551","chub mackerel","Scomber japonicus"
"552","gopher rockfish","Sebastes carnatus"
"553","kelp bass","Paralabrax clathratus"
"554","white croaker","Genyonemus lineatus"
"555","pile surfperch","Phanerodon vacca"
"556","barred sand bass","Paralabrax nebulifer"
"557","brown smooth-hound shark","Mustelus henlei"
"558","chub mackerel","Scomber japonicus"
"559","white croaker","Genyonemus lineatus"
"560","yellowfin croaker","Umbrina roncador"
"561","top smelt","Atherinops affinis"
"562","california halibut","Paralichthys californicus"
"563","kelp bass","Paralabrax clathratus"
"564","black perch","Embiotica jacksoni"
"565","chub mackerel","Scomber japonicus"
"566","kelp bass","Paralabrax clathratus"
"567","rosy rockfish","Sebastes helvomaculatus"
"568","ocean whitefish","Caulolatilus princeps"
"569","black perch","Embiotica jacksoni"
"570","barred sand bass","Paralabrax nebulifer"
"571","spiny dogfish","Squalus acanthias"
"572","shiner surfperch","Cymatogaster aggregata"
"573","white surfperch","Phanerodon furcatus"
"574","barred sand bass","Paralabrax nebulifer"
"575","brown smooth-hound shark","Mustelus henlei"
"576","chub mackerel","Scomber japonicus"
"577","kelp bass","Paralabrax clathratus"
"578","white croaker","Genyonemus lineatus"
"579","black perch","Embiotica jacksoni"
"580","white croaker","Genyonemus lineatus"
"581","shiner surfperch","Cymatogaster aggregata"
"582","spotted sand bass","Paralabrax maculatofasciatus"
"583","diamond turbot","Pleuronichthys guttulatus"
"584","barred surfperch","Amphistichus argenteus"
"585","barred sand bass","Paralabrax nebulifer"
"586","brown smooth-hound shark","Mustelus henlei"
"587","chub mackerel","Scomber japonicus"
"588","kelp bass","Paralabrax clathratus"
"589","spotfin croaker","Roncador stearnsii"
"590","barred sand bass","Paralabrax nebulifer"
"591","chub mackerel","Scomber japonicus"
"592","kelp bass","Paralabrax clathratus"
"593","white croaker","Genyonemus lineatus"
"594","barred sand bass","Paralabrax nebulifer"
"595","chub mackerel","Scomber japonicus"
"596","kelp bass","Paralabrax clathratus"
"597","pacific barracuda","Sphyraena argentea"
"598","opaleye","Girella nigricans"
"599","white croaker","Genyonemus lineatus"
"600","spotfin croaker","Roncador stearnsii"
"601","shiner surfperch","Cymatogaster aggregata"
"602","top smelt","Atherinops affinis"
"603","white surfperch","Phanerodon furcatus"
"604","black perch","Embiotica jacksoni"
"605","barred sand bass","Paralabrax nebulifer"
"606","california corbina","Menticirrhus undulatus"
"607","shiner surfperch","Cymatogaster aggregata"
"608","spotted sand bass","Paralabrax maculatofasciatus"
"609","white surfperch","Phanerodon furcatus"
"610","yellowfin croaker","Umbrina roncador"
"611","white croaker","Genyonemus lineatus"
"612","yellowfin croaker","Umbrina roncador"
"613","queenfish","Seriphus politus"
"614","spotfin croaker","Roncador stearnsii"
"615","white surfperch","Phanerodon furcatus"
"616","barred sand bass","Paralabrax nebulifer"
"617","california halibut","Paralichthys californicus"
"618","shiner surfperch","Cymatogaster aggregata"
"619","spotted sand bass","Paralabrax maculatofasciatus"
"620","white surfperch","Phanerodon furcatus"
"621","barred sand bass","Paralabrax nebulifer"
"622","chub mackerel","Scomber japonicus"
"623","kelp bass","Paralabrax clathratus"
"624","white croaker","Genyonemus lineatus"
"625","chub mackerel","Scomber japonicus"
"626","gopher rockfish","Sebastes carnatus"
"627","kelp bass","Paralabrax clathratus"
"628","yellowtail rockfish","Sebastes flavidus"
"629","california corbina","Menticirrhus undulatus"
"630","yellowfin croaker","Umbrina roncador"
"631","shiner surfperch","Cymatogaster aggregata"
"632","spotted sand bass","Paralabrax maculatofasciatus"
"633","top smelt","Atherinops affinis"
"634","white surfperch","Phanerodon furcatus"
"635","shiner surfperch","Cymatogaster aggregata"
"636","spotted sand bass","Paralabrax maculatofasciatus"
"637","yellowfin croaker","Umbrina roncador"
"638","black perch","Embiotica jacksoni"
"639","barred sand bass","Paralabrax nebulifer"
"640","chub mackerel","Scomber japonicus"
